"NETWORK","IDENTIFIER","HOSTNAME","LOCATION","LAT","LON"
"103.235.92.0/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.92.32/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.92.64/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.92.96/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.92.128/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.92.160/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.92.192/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.92.224/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.0/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.32/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.64/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.96/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.128/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.160/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.192/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.93.224/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.0/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.32/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.64/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.96/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.128/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.160/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.192/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.94.224/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.0/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.32/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.64/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.96/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.128/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.160/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.192/27","MC","customer.mc.starlinkisp.net.",,,
"103.235.95.224/27","MC","customer.mc.starlinkisp.net.",,,
"206.214.238.0/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.238.32/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.238.64/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.238.96/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.238.128/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.238.160/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.238.192/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.238.224/27","IAD3","customer.iad3.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.0/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.32/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.64/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.96/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.128/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.160/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.192/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"206.214.239.224/27","IAD4","customer.iad4.mc.starlinkisp.net.","Ashburn - United States","39.014804","-77.459279"
"149.19.162.0/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.162.32/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.162.64/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.162.96/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.162.128/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.162.160/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.162.192/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.162.224/27","BOG1","customer.bog1.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.0/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.32/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.64/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.96/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.128/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.160/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.192/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"149.19.163.224/27","BOG2","customer.bog2.mc.starlinkisp.net.","Bogota - Colombia","4.671384","-74.156026"
"143.131.4.0/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.4.32/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.4.64/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.4.96/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.4.128/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.4.160/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.4.192/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.4.224/27","ORD1","customer.ord1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.0/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.32/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.64/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.96/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.128/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.160/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.192/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.5.224/27","ORD2","customer.ord2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.0/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.32/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.64/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.96/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.128/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.160/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.192/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.228.224/27","ORD3","customer.ord3.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.0/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.32/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.64/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.96/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.128/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.160/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.192/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"206.214.229.224/27","ORD4","customer.ord4.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.0/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.32/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.64/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.96/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.128/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.160/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.192/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.14.224/27","SJC1","customer.sjc1.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.0/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.32/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.64/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.96/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.128/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.160/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.192/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.15.224/27","SJC2","customer.sjc2.mc.starlinkisp.net.","Chicago - United States","41.85","-87.65"
"143.131.10.0/27","DFW1","customer.dfw1.mc.starlinkisp.net.","Dallas - United States","32.7831","-96.8067"
"143.131.10.32/27","DFW1","customer.dfw1.mc.starlinkisp.net.","Dallas - United States","32.7831","-96.8067"
